ダウンロードした時刻：2026/04/13 04:54:09

,東京
,日射量(MJ/m2)
2025年6月11日8時,0.14
2025年6月11日9時,0.18
2025年6月11日10時,0.18
2025年6月11日11時,0.22
2025年6月11日12時,0.28
2025年6月11日13時,0.31
2025年6月11日14時,0.21
2025年6月11日15時,0.11
2025年6月11日16時,0.22
2025年6月11日17時,0.36
2025年6月11日18時,0.13
2025年6月11日19時,0.06
2025年6月11日20時,0.00
2025年6月11日21時,--
2025年6月11日22時,--
2025年6月11日23時,--
2025年6月11日24時,--
2025年6月12日1時,--
2025年6月12日2時,--
2025年6月12日3時,--
2025年6月12日4時,0.00
2025年6月12日5時,0.03
2025年6月12日6時,0.43
2025年6月12日7時,1.19
2025年6月12日8時,1.86
2025年6月12日9時,2.35
2025年6月12日10時,2.18
2025年6月12日11時,2.33
2025年6月12日12時,1.99
2025年6月12日13時,1.82
2025年6月12日14時,1.54
2025年6月12日15時,1.52
2025年6月12日16時,0.96
2025年6月12日17時,0.55
2025年6月12日18時,0.26
2025年6月12日19時,0.07
2025年6月12日20時,0.00
2025年6月12日21時,--
2025年6月12日22時,--
2025年6月12日23時,--
2025年6月12日24時,--
2025年6月13日1時,--
2025年6月13日2時,--
2025年6月13日3時,--
2025年6月13日4時,0.00
2025年6月13日5時,0.01
2025年6月13日6時,0.16
2025年6月13日7時,0.32
2025年6月13日8時,0.73
2025年6月13日9時,0.51
2025年6月13日10時,1.01
2025年6月13日11時,1.10
2025年6月13日12時,2.10
2025年6月13日13時,2.37
2025年6月13日14時,2.43
2025年6月13日15時,1.22
2025年6月13日16時,1.31
2025年6月13日17時,0.82
2025年6月13日18時,0.33
2025年6月13日19時,0.04
2025年6月13日20時,0.00
2025年6月13日21時,--
2025年6月13日22時,--
2025年6月13日23時,--
2025年6月13日24時,--
2025年6月14日1時,--
2025年6月14日2時,--
2025年6月14日3時,--
2025年6月14日4時,0.00
2025年6月14日5時,0.01
2025年6月14日6時,0.18
2025年6月14日7時,0.49
2025年6月14日8時,1.00
2025年6月14日9時,1.84
2025年6月14日10時,1.80
2025年6月14日11時,1.67
2025年6月14日12時,1.95
2025年6月14日13時,1.06
2025年6月14日14時,0.78
2025年6月14日15時,0.58
2025年6月14日16時,0.39
2025年6月14日17時,0.19
2025年6月14日18時,0.04
2025年6月14日19時,0.00
2025年6月14日20時,0.00
2025年6月14日21時,--
2025年6月14日22時,--
2025年6月14日23時,--
2025年6月14日24時,--
2025年6月15日1時,--
2025年6月15日2時,--
2025年6月15日3時,--
2025年6月15日4時,0.00
2025年6月15日5時,0.00
2025年6月15日6時,0.02
2025年6月15日7時,0.09
2025年6月15日8時,0.34
2025年6月15日9時,0.83
2025年6月15日10時,0.40
2025年6月15日11時,0.44
2025年6月15日12時,0.96
2025年6月15日13時,1.74
2025年6月15日14時,2.01
2025年6月15日15時,1.34
2025年6月15日16時,1.41
2025年6月15日17時,1.35
2025年6月15日18時,0.44
2025年6月15日19時,0.10
2025年6月15日20時,0.00
2025年6月15日21時,--
2025年6月15日22時,--
2025年6月15日23時,--
2025年6月15日24時,--
2025年6月16日1時,--
2025年6月16日2時,--
2025年6月16日3時,--
2025年6月16日4時,0.00
2025年6月16日5時,0.02
2025年6月16日6時,0.17
2025年6月16日7時,0.43
2025年6月16日8時,1.27
2025年6月16日9時,2.12
2025年6月16日10時,2.91
2025年6月16日11時,3.20
2025年6月16日12時,1.94
2025年6月16日13時,3.46
2025年6月16日14時,2.90
2025年6月16日15時,1.12
2025年6月16日16時,1.23
2025年6月16日17時,0.54
2025年6月16日18時,0.33
2025年6月16日19時,0.08
2025年6月16日20時,0.00
2025年6月16日21時,--
2025年6月16日22時,--
2025年6月16日23時,--
2025年6月16日24時,--
2025年6月17日1時,--
2025年6月17日2時,--
2025年6月17日3時,--
2025年6月17日4時,0.00
2025年6月17日5時,0.03
2025年6月17日6時,0.43
2025年6月17日7時,1.09
2025年6月17日8時,1.77
2025年6月17日9時,2.37
2025年6月17日10時,2.82
2025年6月17日11時,3.23
2025年6月17日12時,3.41
2025年6月17日13時,3.38
2025年6月17日14時,3.10
2025年6月17日15時,2.64
2025年6月17日16時,2.00
2025年6月17日17時,1.29
2025年6月17日18時,0.60
2025年6月17日19時,0.11
2025年6月17日20時,0.00
2025年6月17日21時,--
2025年6月17日22時,--
2025年6月17日23時,--
2025年6月17日24時,--
2025年6月18日1時,--
2025年6月18日2時,--
2025年6月18日3時,--
2025年6月18日4時,0.00
2025年6月18日5時,0.04
2025年6月18日6時,0.45
2025年6月18日7時,1.04
2025年6月18日8時,1.81
2025年6月18日9時,2.45
2025年6月18日10時,2.97
2025年6月18日11時,3.31
2025年6月18日12時,3.47
2025年6月18日13時,3.46
2025年6月18日14時,2.22
2025年6月18日15時,2.67
2025年6月18日16時,2.04
2025年6月18日17時,1.35
2025年6月18日18時,0.64
2025年6月18日19時,0.13
2025年6月18日20時,0.00
2025年6月18日21時,--
2025年6月18日22時,--
2025年6月18日23時,--
2025年6月18日24時,--
2025年6月19日1時,--
2025年6月19日2時,--
2025年6月19日3時,--
2025年6月19日4時,0.00
2025年6月19日5時,0.02
2025年6月19日6時,0.37
2025年6月19日7時,0.46
2025年6月19日8時,1.59
2025年6月19日9時,2.38
2025年6月19日10時,2.90
2025年6月19日11時,3.24
2025年6月19日12時,3.42
2025年6月19日13時,3.38
2025年6月19日14時,3.13
2025年6月19日15時,2.66
2025年6月19日16時,2.08
2025年6月19日17時,1.38
2025年6月19日18時,0.60
2025年6月19日19時,0.11
2025年6月19日20時,0.00
2025年6月19日21時,--
2025年6月19日22時,--
2025年6月19日23時,--
2025年6月19日24時,--
2025年6月20日1時,--
2025年6月20日2時,--
2025年6月20日3時,--
2025年6月20日4時,0.00
2025年6月20日5時,0.01
2025年6月20日6時,0.08
2025年6月20日7時,0.38
2025年6月20日8時,0.46
2025年6月20日9時,0.91
2025年6月20日10時,1.70
2025年6月20日11時,1.66
2025年6月20日12時,3.05
2025年6月20日13時,2.01
2025年6月20日14時,3.09
2025年6月20日15時,2.59
2025年6月20日16時,1.87
2025年6月20日17時,1.36
2025年6月20日18時,0.38
2025年6月20日19時,0.11
2025年6月20日20時,0.00
2025年6月20日21時,--
2025年6月20日22時,--
2025年6月20日23時,--
2025年6月20日24時,--
2025年6月21日1時,--
2025年6月21日2時,--
2025年6月21日3時,--
2025年6月21日4時,0.00
2025年6月21日5時,0.04
2025年6月21日6時,0.49
2025年6月21日7時,0.99
2025年6月21日8時,1.82
2025年6月21日9時,2.54
2025年6月21日10時,3.06
2025年6月21日11時,3.32
2025年6月21日12時,3.45
2025年6月21日13時,3.20
2025年6月21日14時,3.09
2025年6月21日15時,2.43
2025年6月21日16時,1.92
2025年6月21日17時,1.56
2025年6月21日18時,0.67
2025年6月21日19時,0.13
2025年6月21日20時,0.00
2025年6月21日21時,--
2025年6月21日22時,--
2025年6月21日23時,--
2025年6月21日24時,--
2025年6月22日1時,--
2025年6月22日2時,--
2025年6月22日3時,--
2025年6月22日4時,0.00
2025年6月22日5時,0.04
2025年6月22日6時,0.46
2025年6月22日7時,1.12
2025年6月22日8時,1.85
2025年6月22日9時,2.50
2025年6月22日10時,3.01
2025年6月22日11時,3.36
2025年6月22日12時,3.51
2025年6月22日13時,3.45
2025年6月22日14時,3.17
2025年6月22日15時,2.72
2025年6月22日16時,2.11
2025年6月22日17時,1.39
2025年6月22日18時,0.68
2025年6月22日19時,0.08
2025年6月22日20時,0.00
2025年6月22日21時,--
2025年6月22日22時,--
2025年6月22日23時,--
2025年6月22日24時,--
2025年6月23日1時,--
2025年6月23日2時,--
2025年6月23日3時,--
2025年6月23日4時,0.00
2025年6月23日5時,0.02
2025年6月23日6時,0.25
2025年6月23日7時,0.66
2025年6月23日8時,1.03
2025年6月23日9時,1.51
2025年6月23日10時,2.26
2025年6月23日11時,1.93
2025年6月23日12時,2.05
2025年6月23日13時,2.56
2025年6月23日14時,1.62
2025年6月23日15時,1.30
2025年6月23日16時,1.16
2025年6月23日17時,0.16
2025年6月23日18時,0.16
2025年6月23日19時,0.04
2025年6月23日20時,0.00
2025年6月23日21時,--
2025年6月23日22時,--
2025年6月23日23時,--
2025年6月23日24時,--
2025年6月24日1時,--
2025年6月24日2時,--
2025年6月24日3時,--
2025年6月24日4時,0.00
2025年6月24日5時,0.02
2025年6月24日6時,0.09
2025年6月24日7時,0.20
2025年6月24日8時,0.35
2025年6月24日9時,0.28
2025年6月24日10時,0.40
2025年6月24日11時,0.63
2025年6月24日12時,1.23
2025年6月24日13時,1.03
2025年6月24日14時,1.30
2025年6月24日15時,0.69
2025年6月24日16時,0.85
2025年6月24日17時,0.77
2025年6月24日18時,0.21
2025年6月24日19時,0.04
2025年6月24日20時,0.00
2025年6月24日21時,--
2025年6月24日22時,--
2025年6月24日23時,--
2025年6月24日24時,--
2025年6月25日1時,--
2025年6月25日2時,--
2025年6月25日3時,--
2025年6月25日4時,0.00
2025年6月25日5時,0.01
2025年6月25日6時,0.10
2025年6月25日7時,0.48
2025年6月25日8時,0.66
2025年6月25日9時,0.46
2025年6月25日10時,0.30
2025年6月25日11時,0.84
2025年6月25日12時,1.37
2025年6月25日13時,1.58
2025年6月25日14時,1.80
2025年6月25日15時,0.99
2025年6月25日16時,1.04
2025年6月25日17時,0.78
2025年6月25日18時,0.25
2025年6月25日19時,0.05
2025年6月25日20時,0.00
2025年6月25日21時,--
2025年6月25日22時,--
2025年6月25日23時,--
2025年6月25日24時,--
2025年6月26日1時,--
2025年6月26日2時,--
2025年6月26日3時,--
2025年6月26日4時,0.00
2025年6月26日5時,0.01
2025年6月26日6時,0.13
2025年6月26日7時,0.33
2025年6月26日8時,0.91
2025年6月26日9時,1.74
2025年6月26日10時,2.20
2025年6月26日11時,1.41
2025年6月26日12時,1.31
2025年6月26日13時,1.68
2025年6月26日14時,2.95
2025年6月26日15時,1.31
2025年6月26日16時,0.62
2025年6月26日17時,0.41
2025年6月26日18時,0.34
2025年6月26日19時,0.03
2025年6月26日20時,0.00
2025年6月26日21時,--
2025年6月26日22時,--
2025年6月26日23時,--
2025年6月26日24時,--
2025年6月27日1時,--
2025年6月27日2時,--
2025年6月27日3時,--
2025年6月27日4時,0.00
2025年6月27日5時,0.02
2025年6月27日6時,0.24
2025年6月27日7時,0.81
2025年6月27日8時,1.69
2025年6月27日9時,1.39
2025年6月27日10時,1.97
2025年6月27日11時,2.01
2025年6月27日12時,1.20
2025年6月27日13時,2.56
2025年6月27日14時,0.73
2025年6月27日15時,0.82
2025年6月27日16時,1.11
2025年6月27日17時,1.01
2025年6月27日18時,0.20
2025年6月27日19時,0.02
2025年6月27日20時,0.00
2025年6月27日21時,--
2025年6月27日22時,--
2025年6月27日23時,--
2025年6月27日24時,--
2025年6月28日1時,--
2025年6月28日2時,--
2025年6月28日3時,--
2025年6月28日4時,0.00
2025年6月28日5時,0.03
2025年6月28日6時,0.45
2025年6月28日7時,0.96
2025年6月28日8時,1.61
2025年6月28日9時,2.10
2025年6月28日10時,2.60
2025年6月28日11時,3.24
2025年6月28日12時,3.53
2025年6月28日13時,3.51
2025年6月28日14時,3.27
2025年6月28日15時,2.76
2025年6月28日16時,2.16
2025年6月28日17時,1.49
2025年6月28日18時,0.76
2025年6月28日19時,0.15
2025年6月28日20時,0.00
2025年6月28日21時,--
2025年6月28日22時,--
2025年6月28日23時,--
2025年6月28日24時,--
2025年6月29日1時,--
2025年6月29日2時,--
2025年6月29日3時,--
2025年6月29日4時,0.00
2025年6月29日5時,0.03
2025年6月29日6時,0.40
2025年6月29日7時,1.04
2025年6月29日8時,1.75
2025年6月29日9時,2.40
2025年6月29日10時,2.92
2025年6月29日11時,3.24
2025年6月29日12時,3.35
2025年6月29日13時,3.35
2025年6月29日14時,3.01
2025年6月29日15時,2.64
2025年6月29日16時,1.67
2025年6月29日17時,0.91
2025年6月29日18時,0.59
2025年6月29日19時,0.11
2025年6月29日20時,0.00
2025年6月29日21時,--
2025年6月29日22時,--
2025年6月29日23時,--
2025年6月29日24時,--
2025年6月30日1時,--
2025年6月30日2時,--
2025年6月30日3時,--
2025年6月30日4時,0.00
2025年6月30日5時,0.02
2025年6月30日6時,0.41
2025年6月30日7時,0.68
2025年6月30日8時,1.55
2025年6月30日9時,2.32
2025年6月30日10時,2.80
2025年6月30日11時,3.02
2025年6月30日12時,3.29
2025年6月30日13時,3.17
2025年6月30日14時,2.88
2025年6月30日15時,2.52
2025年6月30日16時,2.33
2025年6月30日17時,1.67
2025年6月30日18時,0.73
2025年6月30日19時,0.15
2025年6月30日20時,0.00
2025年6月30日21時,--
2025年6月30日22時,--
2025年6月30日23時,--
2025年6月30日24時,--
2025年7月1日1時,--
2025年7月1日2時,--
2025年7月1日3時,--
2025年7月1日4時,0.00
2025年7月1日5時,0.02
2025年7月1日6時,0.37
2025年7月1日7時,0.96
2025年7月1日8時,1.75
2025年7月1日9時,2.10
2025年7月1日10時,2.70
2025年7月1日11時,3.15
2025年7月1日12時,2.96
2025年7月1日13時,2.59
2025年7月1日14時,2.08
2025年7月1日15時,0.53
2025年7月1日16時,0.53
2025年7月1日17時,1.18
2025年7月1日18時,0.67
2025年7月1日19時,0.03
2025年7月1日20時,0.00
2025年7月1日21時,--
2025年7月1日22時,--
2025年7月1日23時,--
2025年7月1日24時,--
2025年7月2日1時,--
2025年7月2日2時,--
2025年7月2日3時,--
2025年7月2日4時,0.00
2025年7月2日5時,0.02
2025年7月2日6時,0.12
2025年7月2日7時,0.28
2025年7月2日8時,0.24
2025年7月2日9時,0.77
2025年7月2日10時,0.97
2025年7月2日11時,1.32
2025年7月2日12時,2.69
2025年7月2日13時,3.44
2025年7月2日14時,2.66
2025年7月2日15時,1.36
2025年7月2日16時,0.92
2025年7月2日17時,0.95
2025年7月2日18時,0.30
2025年7月2日19時,0.10
2025年7月2日20時,0.00
2025年7月2日21時,--
2025年7月2日22時,--
2025年7月2日23時,--
2025年7月2日24時,--
2025年7月3日1時,--
2025年7月3日2時,--
2025年7月3日3時,--
2025年7月3日4時,0.00
2025年7月3日5時,0.01
2025年7月3日6時,0.24
2025年7月3日7時,0.75
2025年7月3日8時,0.95
2025年7月3日9時,1.30
2025年7月3日10時,2.65
2025年7月3日11時,2.42
2025年7月3日12時,3.43
2025年7月3日13時,3.27
2025年7月3日14時,2.94
2025年7月3日15時,2.29
2025年7月3日16時,1.58
2025年7月3日17時,1.23
2025年7月3日18時,0.40
2025年7月3日19時,0.07
2025年7月3日20時,0.00
2025年7月3日21時,--
2025年7月3日22時,--
2025年7月3日23時,--
2025年7月3日24時,--
2025年7月4日1時,--
2025年7月4日2時,--
2025年7月4日3時,--
2025年7月4日4時,0.00
2025年7月4日5時,0.01
2025年7月4日6時,0.14
2025年7月4日7時,0.46
2025年7月4日8時,0.74
2025年7月4日9時,1.67
2025年7月4日10時,1.44
2025年7月4日11時,3.10
2025年7月4日12時,3.22
2025年7月4日13時,3.29
2025年7月4日14時,3.07
2025年7月4日15時,2.64
2025年7月4日16時,1.83
2025年7月4日17時,0.66
2025年7月4日18時,0.42
2025年7月4日19時,0.08
2025年7月4日20時,0.00
2025年7月4日21時,--
2025年7月4日22時,--
2025年7月4日23時,--
2025年7月4日24時,--
2025年7月5日1時,--
2025年7月5日2時,--
2025年7月5日3時,--
2025年7月5日4時,0.00
2025年7月5日5時,0.02
2025年7月5日6時,0.30
2025年7月5日7時,0.72
2025年7月5日8時,1.28
2025年7月5日9時,1.94
2025年7月5日10時,2.57
2025年7月5日11時,1.39
2025年7月5日12時,1.29
2025年7月5日13時,1.11
2025年7月5日14時,1.77
2025年7月5日15時,2.85
2025年7月5日16時,2.07
2025年7月5日17時,1.28
2025年7月5日18時,0.35
2025年7月5日19時,0.07
2025年7月5日20時,0.00
2025年7月5日21時,--
2025年7月5日22時,--
2025年7月5日23時,--
2025年7月5日24時,--
2025年7月6日1時,--
2025年7月6日2時,--
2025年7月6日3時,--
2025年7月6日4時,0.00
2025年7月6日5時,0.01
2025年7月6日6時,0.17
2025年7月6日7時,0.59
2025年7月6日8時,1.72
2025年7月6日9時,1.48
2025年7月6日10時,1.73
2025年7月6日11時,1.80
2025年7月6日12時,1.18
2025年7月6日13時,2.53
2025年7月6日14時,2.34
2025年7月6日15時,1.46
2025年7月6日16時,1.65
2025年7月6日17時,1.10
2025年7月6日18時,0.56
2025年7月6日19時,0.16
2025年7月6日20時,0.00
2025年7月6日21時,--
2025年7月6日22時,--
2025年7月6日23時,--
2025年7月6日24時,--
2025年7月7日1時,--
2025年7月7日2時,--
2025年7月7日3時,--
2025年7月7日4時,--
2025年7月7日5時,0.01
2025年7月7日6時,0.20
2025年7月7日7時,0.58
2025年7月7日8時,1.02
2025年7月7日9時,1.55
2025年7月7日10時,2.10
2025年7月7日11時,3.00
2025年7月7日12時,2.48
2025年7月7日13時,1.19
2025年7月7日14時,1.98
2025年7月7日15時,1.57
2025年7月7日16時,1.28
2025年7月7日17時,0.75
2025年7月7日18時,0.32
2025年7月7日19時,0.05
2025年7月7日20時,0.00
2025年7月7日21時,--
2025年7月7日22時,--
2025年7月7日23時,--
2025年7月7日24時,--
2025年7月8日1時,--
2025年7月8日2時,--
2025年7月8日3時,--
2025年7月8日4時,--
2025年7月8日5時,0.01
2025年7月8日6時,0.25
2025年7月8日7時,0.73
2025年7月8日8時,1.67
2025年7月8日9時,2.46
2025年7月8日10時,2.87
2025年7月8日11時,3.22
2025年7月8日12時,3.43
2025年7月8日13時,3.46
2025年7月8日14時,2.81
2025年7月8日15時,2.43
2025年7月8日16時,1.69
2025年7月8日17時,1.29
2025年7月8日18時,0.63
2025年7月8日19時,0.13
2025年7月8日20時,0.00
2025年7月8日21時,--
2025年7月8日22時,--
2025年7月8日23時,--
2025年7月8日24時,--
2025年7月9日1時,--
2025年7月9日2時,--
2025年7月9日3時,--
2025年7月9日4時,--
2025年7月9日5時,0.01
2025年7月9日6時,0.23
2025年7月9日7時,0.71
2025年7月9日8時,1.09
2025年7月9日9時,2.03
2025年7月9日10時,2.53
2025年7月9日11時,3.10
2025年7月9日12時,2.94
2025年7月9日13時,2.83
2025年7月9日14時,3.00
2025年7月9日15時,2.60
2025年7月9日16時,2.01
2025年7月9日17時,1.31
2025年7月9日18時,0.62
2025年7月9日19時,0.11
2025年7月9日20時,0.00
2025年7月9日21時,--
2025年7月9日22時,--
2025年7月9日23時,--
2025年7月9日24時,--
2025年7月10日1時,--
2025年7月10日2時,--
2025年7月10日3時,--
2025年7月10日4時,--
2025年7月10日5時,0.02
2025年7月10日6時,0.36
2025年7月10日7時,1.01
2025年7月10日8時,1.66
2025年7月10日9時,2.36
2025年7月10日10時,2.04
2025年7月10日11時,3.33
2025年7月10日12時,2.93
2025年7月10日13時,3.47
2025年7月10日14時,3.18
2025年7月10日15時,2.30
2025年7月10日16時,1.15
2025年7月10日17時,0.39
2025年7月10日18時,0.03
2025年7月10日19時,0.01
2025年7月10日20時,0.00
2025年7月10日21時,--
2025年7月10日22時,--
2025年7月10日23時,--
2025年7月10日24時,--
2025年7月11日1時,--
2025年7月11日2時,--
2025年7月11日3時,--
2025年7月11日4時,--
2025年7月11日5時,0.00
2025年7月11日6時,0.05
2025年7月11日7時,0.14
2025年7月11日8時,0.41
2025年7月11日9時,0.62
2025年7月11日10時,0.70
2025年7月11日11時,0.79
2025年7月11日12時,0.88
2025年7月11日13時,0.50
2025年7月11日14時,0.39
2025年7月11日15時,0.61
2025年7月11日16時,0.57
2025年7月11日17時,0.18
2025年7月11日18時,0.11
2025年7月11日19時,0.03
2025年7月11日20時,0.00
2025年7月11日21時,--
2025年7月11日22時,--
2025年7月11日23時,--
2025年7月11日24時,--
2025年7月12日1時,--
2025年7月12日2時,--
2025年7月12日3時,--
2025年7月12日4時,--
2025年7月12日5時,0.02
2025年7月12日6時,0.23
2025年7月12日7時,0.35
2025年7月12日8時,0.77
2025年7月12日9時,1.38
2025年7月12日10時,0.94
2025年7月12日11時,0.74
2025年7月12日12時,1.36
2025年7月12日13時,1.33
2025年7月12日14時,1.29
2025年7月12日15時,0.98
2025年7月12日16時,0.79
2025年7月12日17時,0.33
2025年7月12日18時,0.10
2025年7月12日19時,0.03
2025年7月12日20時,0.00
2025年7月12日21時,--
2025年7月12日22時,--
2025年7月12日23時,--
2025年7月12日24時,--
2025年7月13日1時,--
2025年7月13日2時,--
2025年7月13日3時,--
2025年7月13日4時,--
2025年7月13日5時,0.01
2025年7月13日6時,0.23
2025年7月13日7時,0.68
2025年7月13日8時,1.30
2025年7月13日9時,2.09
2025年7月13日10時,2.48
2025年7月13日11時,2.60
2025年7月13日12時,3.55
2025年7月13日13時,3.50
2025年7月13日14時,3.24
2025年7月13日15時,2.72
2025年7月13日16時,2.11
2025年7月13日17時,1.47
2025年7月13日18時,0.88
2025年7月13日19時,0.17
2025年7月13日20時,0.00
2025年7月13日21時,--
2025年7月13日22時,--
2025年7月13日23時,--
2025年7月13日24時,--
2025年7月14日1時,--
2025年7月14日2時,--
2025年7月14日3時,--
2025年7月14日4時,--
2025年7月14日5時,0.01
2025年7月14日6時,0.10
2025年7月14日7時,0.28
2025年7月14日8時,0.40
2025年7月14日9時,0.83
2025年7月14日10時,0.48
2025年7月14日11時,0.64
2025年7月14日12時,0.66
2025年7月14日13時,1.37
2025年7月14日14時,2.37
2025年7月14日15時,1.44
2025年7月14日16時,1.61
2025年7月14日17時,1.09
2025年7月14日18時,0.67
2025年7月14日19時,0.12
2025年7月14日20時,0.00
2025年7月14日21時,--
2025年7月14日22時,--
2025年7月14日23時,--
2025年7月14日24時,--
2025年7月15日1時,--
2025年7月15日2時,--
2025年7月15日3時,--
2025年7月15日4時,--
2025年7月15日5時,0.00
2025年7月15日6時,0.09
2025年7月15日7時,0.26
2025年7月15日8時,0.34
2025年7月15日9時,0.48
2025年7月15日10時,1.19
2025年7月15日11時,1.68
2025年7月15日12時,1.10
2025年7月15日13時,0.53
2025年7月15日14時,0.89
2025年7月15日15時,0.75
2025年7月15日16時,0.43
2025年7月15日17時,0.32
2025年7月15日18時,0.18
2025年7月15日19時,0.09
2025年7月15日20時,0.00
2025年7月15日21時,--
2025年7月15日22時,--
2025年7月15日23時,--
2025年7月15日24時,--
2025年7月16日1時,--
2025年7月16日2時,--
2025年7月16日3時,--
2025年7月16日4時,--
2025年7月16日5時,0.01
2025年7月16日6時,0.14
2025年7月16日7時,0.30
2025年7月16日8時,0.23
2025年7月16日9時,0.64
2025年7月16日10時,0.72
2025年7月16日11時,1.15
2025年7月16日12時,0.59
2025年7月16日13時,0.60
2025年7月16日14時,1.29
2025年7月16日15時,0.89
2025年7月16日16時,0.62
2025年7月16日17時,0.47
2025年7月16日18時,0.22
2025年7月16日19時,0.04
2025年7月16日20時,0.00
2025年7月16日21時,--
2025年7月16日22時,--
2025年7月16日23時,--
2025年7月16日24時,--
2025年7月17日1時,--
2025年7月17日2時,--
2025年7月17日3時,--
2025年7月17日4時,--
2025年7月17日5時,0.00
2025年7月17日6時,0.20
2025年7月17日7時,0.26
2025年7月17日8時,0.68
2025年7月17日9時,1.65
2025年7月17日10時,2.40
2025年7月17日11時,2.93
2025年7月17日12時,2.74
2025年7月17日13時,3.38
2025年7月17日14時,2.50
2025年7月17日15時,1.72
2025年7月17日16時,1.08
2025年7月17日17時,0.75
2025年7月17日18時,0.63
2025年7月17日19時,0.16
2025年7月17日20時,0.00
2025年7月17日21時,--
2025年7月17日22時,--
2025年7月17日23時,--
2025年7月17日24時,--
2025年7月18日1時,--
2025年7月18日2時,--
2025年7月18日3時,--
2025年7月18日4時,--
2025年7月18日5時,0.01
2025年7月18日6時,0.32
2025年7月18日7時,1.01
2025年7月18日8時,1.66
2025年7月18日9時,0.95
2025年7月18日10時,1.41
2025年7月18日11時,3.04
2025年7月18日12時,2.59
2025年7月18日13時,2.68
2025年7月18日14時,2.89
2025年7月18日15時,2.50
2025年7月18日16時,1.85
2025年7月18日17時,1.35
2025年7月18日18時,0.95
2025年7月18日19時,0.15
2025年7月18日20時,0.00
2025年7月18日21時,--
2025年7月18日22時,--
2025年7月18日23時,--
2025年7月18日24時,--
2025年7月19日1時,--
2025年7月19日2時,--
2025年7月19日3時,--
2025年7月19日4時,--
2025年7月19日5時,0.01
2025年7月19日6時,0.35
2025年7月19日7時,1.02
2025年7月19日8時,1.66
2025年7月19日9時,2.30
2025年7月19日10時,3.08
2025年7月19日11時,3.41
2025年7月19日12時,3.18
2025年7月19日13時,3.52
2025年7月19日14時,2.84
2025年7月19日15時,1.71
2025年7月19日16時,1.35
2025年7月19日17時,0.85
2025年7月19日18時,0.69
2025年7月19日19時,0.17
2025年7月19日20時,0.00
2025年7月19日21時,--
2025年7月19日22時,--
2025年7月19日23時,--
2025年7月19日24時,--
2025年7月20日1時,--
2025年7月20日2時,--
2025年7月20日3時,--
2025年7月20日4時,--
2025年7月20日5時,0.01
2025年7月20日6時,0.12
2025年7月20日7時,1.04
2025年7月20日8時,1.53
2025年7月20日9時,2.18
2025年7月20日10時,2.77
2025年7月20日11時,3.28
2025年7月20日12時,3.48
2025年7月20日13時,3.48
2025年7月20日14時,3.24
2025年7月20日15時,2.62
2025年7月20日16時,2.07
2025年7月20日17時,1.42
2025年7月20日18時,0.70
2025年7月20日19時,0.13
2025年7月20日20時,0.00
2025年7月20日21時,--
2025年7月20日22時,--
2025年7月20日23時,--
2025年7月20日24時,--
2025年7月21日1時,--
2025年7月21日2時,--
2025年7月21日3時,--
2025年7月21日4時,--
2025年7月21日5時,0.01
2025年7月21日6時,0.31
2025年7月21日7時,0.96
2025年7月21日8時,1.67
2025年7月21日9時,2.39
2025年7月21日10時,2.78
2025年7月21日11時,3.28
2025年7月21日12時,3.36
2025年7月21日13時,3.33
2025年7月21日14時,3.10
2025年7月21日15時,2.67
2025年7月21日16時,2.07
2025年7月21日17時,1.37
2025年7月21日18時,0.60
2025年7月21日19時,0.04
2025年7月21日20時,0.00
2025年7月21日21時,--
2025年7月21日22時,--
2025年7月21日23時,--
2025年7月21日24時,--
2025年7月22日1時,--
2025年7月22日2時,--
2025年7月22日3時,--
2025年7月22日4時,--
2025年7月22日5時,0.01
2025年7月22日6時,0.25
2025年7月22日7時,0.83
2025年7月22日8時,1.59
2025年7月22日9時,2.26
2025年7月22日10時,2.09
2025年7月22日11時,3.17
2025年7月22日12時,3.32
2025年7月22日13時,3.29
2025年7月22日14時,3.10
2025年7月22日15時,2.65
2025年7月22日16時,0.46
2025年7月22日17時,0.30
2025年7月22日18時,0.24
2025年7月22日19時,0.07
2025年7月22日20時,0.00
2025年7月22日21時,--
2025年7月22日22時,--
2025年7月22日23時,--
2025年7月22日24時,--
2025年7月23日1時,--
2025年7月23日2時,--
2025年7月23日3時,--
2025年7月23日4時,--
2025年7月23日5時,0.01
2025年7月23日6時,0.21
2025年7月23日7時,0.68
2025年7月23日8時,1.61
2025年7月23日9時,2.34
2025年7月23日10時,2.85
2025年7月23日11時,3.17
2025年7月23日12時,3.27
2025年7月23日13時,3.25
2025年7月23日14時,3.03
2025年7月23日15時,2.60
2025年7月23日16時,2.03
2025年7月23日17時,1.09
2025年7月23日18時,0.29
2025年7月23日19時,0.05
2025年7月23日20時,0.00
2025年7月23日21時,--
2025年7月23日22時,--
2025年7月23日23時,--
2025年7月23日24時,--
2025年7月24日1時,--
2025年7月24日2時,--
2025年7月24日3時,--
2025年7月24日4時,--
2025年7月24日5時,0.01
2025年7月24日6時,0.30
2025年7月24日7時,0.91
2025年7月24日8時,1.38
2025年7月24日9時,2.16
2025年7月24日10時,2.93
2025年7月24日11時,3.02
2025年7月24日12時,3.29
2025年7月24日13時,3.21
2025年7月24日14時,3.00
2025年7月24日15時,2.57
2025年7月24日16時,1.81
2025年7月24日17時,0.81
